price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
12.500TL,exper gayri̇menkulden kiliçdede mahallesi̇nde 3+1 asansörlü ki̇ralik dai̇re,130 M2,3+1,5,4.Kat,Kombi Doğalgaz,,135 M2,21 Ve Üzeri,150 TL,Hayır,1,
16.000TLarrow_downward%6,berre gayri̇menkul'den tramvaya yakin ki̇ralik 1+1,50 M2,1+1,5,1.Kat,Kombi Doğalgaz,,60 M2,5-10,,Hayır,,
9.000TL,berre gayri̇menkul'den ulugazi̇ mahallesi̇ şehi̇r merkezi̇nde 3+1,145 M2,3+1,5,1.Kat,Kombi Doğalgaz,,160 M2,21 Ve Üzeri,,Hayır,,
7.500TL,deni̇ze yakin anayola cephe bi̇nada ki̇ralik dai̇re,130 M2,3+1,7,6.Kat,Kombi Doğalgaz,,155 M2,16-20,250 TL,Hayır,,
8.750TL,✅️gençbay emlak'tan i̇lyasköy mah gi̇ri̇ş kat 1+1 ful eşyali ki̇ralik temi̇z dai̇re,50 M2,1+1,3,Düz Giriş (Zemin),Kombi Doğalgaz,Eşyalı,55 M2,21 Ve Üzeri,30 TL,Hayır,,
15.000TL,sezgi̇n aslan'dan eşyali ki̇ralik 2+1 dai̇re,95 M2,2+1,5,2.Kat,Kombi Doğalgaz,,110 M2,21 Ve Üzeri,,Hayır,,
8.000TL,damla emlak'dan çakirlarda ki̇ralik vi̇lla,250 M2,4+2,Kombi Doğalgaz,2,Boş,Eşyalı,280 M2,0 (Yeni),,Hayır,,
8.000TL,tozluemlak'tan anayola cephe ki̇ralik 1+1,47 M2,1+1,5,1.Kat,Kombi Doğalgaz,Eşyalı,55 M2,0 (Yeni),,Evet,,
20.000TL,i̇lkadim bulvar üstünde ki̇ralik dai̇re sai̇tbey mahallesi̇nde,88 M2,2+1,5,Yüksek Giriş,Kombi Doğalgaz,,90 M2,21 Ve Üzeri,,Hayır,1,
18.000TL,samsun atakum mevlânâ mahallesi̇nde deni̇z manzarali kli̇mali 2+1 ki̇ralik dai̇re,90 M2,2+1,8,Çatı Katı,Kombi Doğalgaz,Boş,100 M2,5-10,,Hayır,,
16.000TL,i̇lkadim kiran toki̇de ki̇ralik dai̇re,120 M2,3+1,8,3.Kat,Kombi Doğalgaz,,135 M2,4,,Hayır,1,
16.000TL,eşyali ki̇ralik 3+1 güzel sanatlar fakültesi̇ tramvaya yakin kalkancida,100 M2,3+1,2,1.Kat,Kombi Doğalgaz,Eşyalı,110 M2,16-20,50 TL,Hayır,,
8.000TL,evi̇m-nur'dan cedi̇t mh 2+1 1.kat 2 yillik firsat ki̇ralik dai̇re,85 M2,2+1,5,1.Kat,Kombi Doğalgaz,Boş,90 M2,2,,Hayır,,
8.000TL,3+1 145 m2 doğalgazli ki̇ralik dai̇re,145 M2,3+1,4,4.Kat,Kombi Doğalgaz,,155 M2,5-10,,Hayır,,
12.500TL,kalkanca da ki̇ralik çok geniş 2+1 dai̇re,140 M2,2+1,4,4.Kat,Kombi Doğalgaz,Boş,155 M2,5-10,200 TL,Hayır,4 +,30 M2
15.000TL,ki̇ralik 1+1 dai̇re,45 M2,1+1,4,1.Kat,Kombi Doğalgaz,Boş,60 M2,0 (Yeni),,Hayır,,
5.000TL,balaç mevki̇si̇nde ful deni̇z manzarali ki̇ralik dai̇re,50 M2,1+1,4,4.Kat,Kombi Doğalgaz,Boş,60 M2,4,,Hayır,,
8.500TL,evim-nur'dan selahiye mah 3+1 asansörlü dogalgazli kiralik daire,110 M2,3+1,5,Kot 1 (-1).Kat,Kombi Doğalgaz,Boş,125 M2,16-20,,Hayır,,
35.000TL,korkmaz emlaktan mevlana mahallesi̇nde 3+1 120 m2 sifir ki̇ralik dai̇re,120 M2,3+1,5,Yüksek Giriş,Kombi Doğalgaz,Boş,135 M2,0 (Yeni),100 TL,Hayır,2,
12.500TL,samsun i̇lkadim kadi̇fekale mahallesi̇nde doğalgazli temi̇z 2+1 ki̇ralik dai̇re,90 M2,2+1,10,Düz Giriş (Zemin),Kombi Doğalgaz,Boş,100 M2,11-15,,Hayır,,
10.000TL,kw: atakum karayollari deni̇z manzarali ki̇ralik dai̇re,154 M2,3+1,11,7.Kat,Kombi Doğalgaz,,165 M2,16-20,,Evet,,
14.000TL,kw: atakum körfez eşyali 1+1 ki̇ralik dai̇re,55 M2,1+1,5,Yüksek Giriş,Kombi Doğalgaz,,63 M2,2,,Hayır,,
10.000TL,emre köse'den full deni̇z manzarali ki̇ralik 2+1 ultra lüks dai̇re,117 M2,2+1,7,5.Kat,Yerden Isıtma,,135 M2,0 (Yeni),,Hayır,,
10.000TL,emre köse'den grand atakulede ki̇ralik 4+1 sifir ultra lüks dai̇re,190 M2,4+1,27,1.Kat,Yerden Isıtma,,205 M2,0 (Yeni),,Hayır,,
10.000TL,emre köse'den i̇lkadim gazi̇ caddesi̇ ki̇ralik 2+1 dai̇re,120 M2,2+1,4,1.Kat,Kombi Doğalgaz,,140 M2,11-15,,Hayır,,
14.000TL,samsun i̇lkadim kadiköy mahallesi̇nde doğalgazli 3+1 ki̇ralik dai̇re,120 M2,3+1,2,2.Kat,Kombi Doğalgaz,Boş,130 M2,21 Ve Üzeri,,Hayır,,
7.500TL,nş gayri̇menkul serdal 'dan ki̇ralik 2+1 dai̇re,90 M2,2+1,5,3.Kat,Kombi Doğalgaz,Boş,105 M2,0 (Yeni),,Hayır,,
8.500TL,kamali toki̇ 1. etapta bakimlari yapili 3+1 geni̇ş ki̇ralik dai̇re,120 M2,3+1,9,1.Kat,Kombi Doğalgaz,,130 M2,11-15,,Evet,,
